obs,series01,ret,resid,inf,dtbill
1969M04,1969M04,3.514313919,2.568051384,0.275103337,-0.07
1969M05,1969M05,-4.970522626,-6.61649402,0.547946576,0.4
1969M06,1969M06,-4.204771871,-3.400321211,0.544960477,0.56
1969M07,1969M07,-0.283028015,0.524998171,0.271370587,-0.02
1969M08,1969M08,0.629114462,-0.212929283,0.540541857,0.11
1969M09,1969M09,1.346711988,0.736347381,0.537635704,-0.09
1969M10,1969M10,0.997755269,0.041605564,0.534760633,0.24
1969M11,1969M11,-5.02719745,-5.587589787,0.531916148,0.58
1969M12,1969M12,-0.588726997,0.389645981,0.529101763,0.05
1970M01,1970M01,-3.195782121,-3.634967103,0.526317004,-0.74
1970M02,1970M02,2.012582224,1.302929192,0.523561405,-0.5
1970M03,1970M03,-2.747383907,-4.260230543,0.520834511,-0.12
1970M04,1970M04,-11.19869401,-11.3852636,0.259403518,0.33
1970M05,1970M05,-0.26952406,1.403792265,0.516797016,-0.16
1970M06,1970M06,0.522923006,-0.202415877,0.2574004,-0.23
1970M07,1970M07,3.25614875,2.029032145,0.256739551,-0.04
1970M08,1970M08,6.321654689,4.737755865,0.511510067,-0.29
1970M09,1970M09,2.487822919,0.31156037,0.508906951,-0.21
1970M10,1970M10,0.205115365,-1.128822011,0.506330196,-0.63
1970M11,1970M11,7.156699889,5.856800862,0.503779403,-0.41
1970M12,1970M12,4.10975384,1.638960574,0.250941161,-0.43
1971M01,1971M01,4.150176489,2.000788806,0,-0.74
1971M02,1971M02,2.830982048,0.099483312,0.250313022,-0.32
1971M03,1971M03,3.673583501,1.888504025,0.24968802,0.48
1971M04,1971M04,-1.108144822,-2.264173587,0.497513464,0.28
1971M05,1971M05,-1.596128609,-1.735573237,0.495050516,0.61
1971M06,1971M06,-0.463241242,-0.178741938,0.24660925,0.65
1971M07,1971M07,-1.517396465,-1.681356535,0.246002584,-0.46
1971M08,1971M08,2.486116824,1.424846966,0.245398896,-0.25
1971M09,1971M09,-1.864241281,-3.515851161,0.244798164,-0.23
1971M10,1971M10,-4.372094597,-5.136003431,0.244200366,-0.24
1971M11,1971M11,7.163002084,6.889088303,0.24360548,-0.21
1971M12,1971M12,4.422540419,1.875366417,0.243013485,-0.63
1972M01,1972M01,2.086963537,-0.332703702,0.484262448,-0.18
1972M02,1972M02,2.619613435,1.36960329,0,0.53
1972M03,1972M03,1.258898174,0.099592854,0.241254641,-0.02
1972M04,1972M04,-0.77588848,-1.957506216,0.240674003,-0.02
1972M05,1972M05,0.516094089,-0.25996687,0.240096154,0.22
1972M06,1972M06,-0.50360108,-1.298796939,0.239521073,0.07
1972M07,1972M07,3.783945118,3.042079488,0.23894874,0.04
1972M08,1972M08,-1.21021021,-2.83845073,0.476191376,0.64
1972M09,1972M09,0.419205515,0.636687201,0.237248035,0.08
1972M10,1972M10,5.2559816,4.337486639,0.47281412,0.04
1972M11,1972M11,2.313205908,0.637959632,0.235571369,0.29
1972M12,1972M12,0.989834752,-0.099046771,0.46948443,0.34
1973M01,1973M01,-3.324653012,-3.852621592,0.700119546,0.19
1973M02,1973M02,-1.344862814,-0.917788876,0.925932541,0.49
1973M03,1973M03,-1.632067764,-1.062638423,0.6888661,0.17
1973M04,1973M04,-2.568500302,-2.511113154,0.456621798,0.1
1973M05,1973M05,-1.988495025,-2.059121246,0.6810469,0.83
1973M06,1973M06,1.211567271,1.990120346,0,0.82
1973M07,1973M07,-1.634110744,-2.223111558,1.793770069,0.66
1973M08,1973M08,1.996628131,3.709303175,0.443459707,-0.38
1973M09,1973M09,4.238215751,2.763696617,0.881062968,-1.07
1973M10,1973M10,-6.850081208,-8.998377204,0.655740055,0.61
1973M11,1973M11,-6.802287582,-5.299432999,0.867684403,-0.38
1973M12,1973M12,1.702187522,2.431790377,1.074124183,0.32
1974M01,1974M01,-2.471126834,-2.523074767,1.062709257,-0.65
1974M02,1974M02,4.576422329,4.378014692,1.0515344,0.84
1974M03,1974M03,-4.814928845,-4.94581538,0.625653761,0.37
1974M04,1974M04,-2.703871945,-1.878385687,1.034135379,-0.1
1974M05,1974M05,0.45909074,0.825543228,0.81967672,-0.33
1974M06,1974M06,-11.34406207,-12.06472416,0.610378294,-0.35
1974M07,1974M07,-3.761610558,-2.367061674,1.209692171,1.41
1974M08,1974M08,-10.01030295,-7.741377294,1.393057354,-0.9
1974M09,1974M09,2.377340233,3.783167765,0.787405643,-0.6
1974M10,1974M10,3.743840006,2.33691758,0.975617495,0.01
1974M11,1974M11,-6.091441316,-6.964085577,0.77369825,-0.32
1974M12,1974M12,8.635670444,9.184025004,0.76775809,-0.89
1975M01,1975M01,10.81021109,7.844068153,0.571974867,-0.76
1975M02,1975M02,4.976071577,1.498883701,0.379507097,-0.01
1975M03,1975M03,1.488355415,-0.279366528,0.378072284,0.12
1975M04,1975M04,6.713946923,5.770563129,0.18850147,-0.38
1975M05,1975M05,2.895856456,0.210605782,0.750472565,0.11
1975M06,1975M06,0.431998557,-0.409266946,0.930239266,0.79
1975M07,1975M07,-6.996251847,-6.47774723,0.369686188,0.31
1975M08,1975M08,-0.852681523,0.078222761,0.735297431,-0.02
1975M09,1975M09,4.970276761,4.731591717,0.547946576,-0.46
1975M10,1975M10,2.040758722,0.003150578,0.725956001,-0.48
1975M11,1975M11,-1.180563266,-2.46547064,0.541029273,-0.04
1975M12,1975M12,9.54559658,9.147374295,0.359066813,-0.57
1976M01,1976M01,4.178425046,0.918460411,0.179051077,0.01
1976M02,1976M02,0.802683897,-0.997439905,0.178731057,0.12
1976M03,1976M03,1.097373063,0.080464746,0.178412179,-0.14
1976M04,1976M04,-0.3813649,-1.716752475,0.533334598,0.34
1976M05,1976M05,0.902503294,0.715634052,0.530505223,0.21
1976M06,1976M06,2.667812705,2.092021126,0.52770571,-0.18
1976M07,1976M07,-0.558221369,-1.87832458,0.524935589,-0.09
1976M08,1976M08,2.440303324,1.850998583,0.522194398,-0.06
1976M09,1976M09,-3.102948657,-4.263769276,0.519481688,-0.16
1976M10,1976M10,-0.361193163,-0.518110506,0.344827928,-0.17
1976M11,1976M11,3.791996047,2.893478052,0.515022598,-0.4
1976M12,1976M12,-0.533534702,-2.310849412,0.5123837,0.27
1977M01,1977M01,-2.3648579,-2.613281218,1.016957917,0.05
1977M02,1977M02,-0.050330033,0.379928135,0.504626807,-0.07
1977M03,1977M03,-1.188976972,-1.881150518,0.668898815,-0.06
1977M04,1977M04,0.069268888,-0.21226246,0.332779009,0.42
1977M05,1977M05,0.90454975,0.495843577,0.497101272,0.06
1977M06,1977M06,1.286355625,0.525292482,0.494642394,0.17
1977M07,1977M07,-2.074739687,-2.804899541,0.492207721,0.3
1977M08,1977M08,-1.171355499,-1.103507651,0.326797676,0.32
1977M09,1977M09,-2.192951782,-2.460064375,0.48820276,0.35
1977M10,1977M10,0.98617897,1.123265493,0.647251451,-0.06
1977M11,1977M11,-0.075130816,-0.813698855,0.482704075,-0.03
1977M12,1977M12,-3.38650874,-4.056974711,0.640002185,0.37
1978M01,1978M01,-0.967989843,-0.412490675,0.477327875,0.01
1978M02,1978M02,0.269723533,-0.188295335,0.632913505,-0.16
1978M03,1978M03,4.833433724,4.123008464,0.785549994,0
1978M04,1978M04,5.507616043,4.206895555,0.934586242,0.12
1978M05,1978M05,0.676693016,-0.481617946,0.772204609,0.32
1978M06,1978M06,-0.059161888,-0.225066941,0.766287275,0.28
1978M07,1978M07,7.331286655,7.266127077,0.608829887,0.07
1978M08,1978M08,0.402630735,-1.513394781,0.906350615,0.77
1978M09,1978M09,-2.772163138,-2.292957056,0.898209632,0.14
1978M10,1978M10,-5.436271537,-4.960277844,0.59435539,0.65
1978M11,1978M11,1.924295217,3.120042375,0.590843669,0.44
1978M12,1978M12,4.189065481,3.702392429,0.87977107,0.27
1979M01,1979M01,-1.053332163,-1.856690687,1.016711736,-0.03
1979M02,1979M02,2.344836947,2.43324742,1.006478662,0.16
1979M03,1979M03,2.434787712,2.023581771,0.996449526,-0.02
1979M04,1979M04,-1.889215638,-2.508490599,1.126772485,0.15
1979M05,1979M05,2.421538153,2.972493122,1.114217655,-0.55
1979M06,1979M06,1.425489184,0.404544896,1.101939525,0.18
1979M07,1979M07,5.018932976,4.911941832,0.954335805,0.28
1979M08,1979M08,1.544847921,0.664509826,0.945314264,0.74
1979M09,1979M09,-3.348935697,-3.086528358,1.069528912,1.44
1979M10,1979M10,-0.318713716,1.749823756,1.058210933,0.09
1979M11,1979M11,4.407746705,4.513003604,1.177253623,0.25
1979M12,1979M12,3.316326531,2.763344807,1.420295018,-0.04
1980M01,1980M01,4.399609258,4.03176512,1.273902578,0.86
1980M02,1980M02,-8.7742122,-8.615159931,1.382800161,2.34
1980M03,1980M03,-1.158335721,3.221439364,0.993796999,-2
1980M04,1980M04,5.03991343,3.160259025,0.98401778,-4.62
1980M05,1980M05,6.866295265,1.125932029,0.974429147,-1.51
1980M06,1980M06,4.972609802,1.959410574,0.121138719,0.99
1980M07,1980M07,3.507698247,2.465354693,0.72376673,1.07
1980M08,1980M08,2.838731444,2.804633298,0.837826565,1.14
1980M09,1980M09,3.326745718,3.616382298,0.948998818,1.35
1980M10,1980M10,4.616615463,5.135624055,1.056968149,2.11
1980M11,1980M11,-1.242937853,-0.10943911,0.930239266,1.76
1980M12,1980M12,0.012484395,1.832787036,0.92166551,-0.47
1981M01,1981M01,-3.067669173,-3.731172768,0.913248356,-0.23
1981M02,1981M02,4.145898235,4.327720446,0.679504313,-1.43
1981M03,1981M03,1.296087963,-1.405571028,0.562747687,0.33
1981M04,1981M04,-1.6149969,-2.115637279,0.671143459,2.61
1981M05,1981M05,0.859908884,3.328791827,0.887908164,-1.57
1981M06,1981M06,-2.013521668,-3.9789297,1.098912158,0.22
1981M07,1981M07,0.805362122,1.421541817,0.762115828,0.56
1981M08,1981M08,-8.299897119,-8.262762982,0.971405372,-0.81
1981M09,1981M09,1.729830234,2.438973195,0.321716095,-1.16
1981M10,1981M10,3.046280607,0.718567426,0.427351078,-2.68
1981M11,1981M11,1.181855167,-2.813165181,0.319319058,-0.01
1981M12,1981M12,-4.802100162,-5.875972741,0.318302656,1.43
1982M01,1982M01,-1.911764706,-0.356007506,0.317292704,1.2
1982M02,1982M02,-2.742358079,-1.994012518,0,-0.8
1982M03,1982M03,5.471570397,4.056067443,0.316289141,0.02
1982M04,1982M04,0.571797077,-1.331634367,0.942909029,-0.61
1982M05,1982M05,-5.26847079,-6.160832345,1.140499661,0.38
1982M06,1982M06,0.244859465,1.714243049,0.51413995,-1.12
1982M07,1982M07,0.794993144,-0.993313045,0.204918104,-2.67
1982M08,1982M08,12.09738681,8.32696081,0,-0.76
1982M09,1982M09,8.881853894,4.544042074,0.408580752,-0.21
1982M10,1982M10,4.500334715,1.784177831,-0.10198879,0.36
1982M11,1982M11,1.355901521,-0.456018068,-0.306591962,-0.13
1982M12,1982M12,3.926550096,2.037636296,0.204499049,-0.08
1983M01,1983M01,2.130784823,0.318033146,0.102092913,0.25
1983M02,1983M02,3.86637148,2.633129375,0.10198879,0.24
1983M03,1983M03,4.197937239,2.608165996,0.711023818,-0.14
1983M04,1983M04,4.424540266,3.032381615,0.404040954,-0.02
1983M05,1983M05,1.754011781,0.112302878,0.201409937,0.6
1983M06,1983M06,0.709134615,0.005007958,0.401606965,0.29
1983M07,1983M07,-2.406187625,-2.999634696,0.3001503,0.26
1983M08,1983M08,3.314860427,3.206268588,0.299252094,-0.34
1983M09,1983M09,0.64942185,-1.200541169,0.397614838,-0.36
1983M10,1983M10,-1.139932419,-2.373970892,0.297177039,0.12
1983M11,1983M11,-0.126614205,-0.630738271,0.296296513,0.24
1983M12,1983M12,1.577453366,0.989814265,0.687963401,-0.1
1984M01,1984M01,-5.110677083,-5.964197166,0.488520757,0.19
1984M02,1984M02,0.443949989,1.004206773,0.29197101,0.43
1984M03,1984M03,0.509494388,-0.007099684,0.387973329,0.17
1984M04,1984M04,-0.250281832,-0.937953345,0.193423658,0.14
1984M05,1984M05,-1.845998297,-2.617266282,0.193050253,0.04
1984M06,1984M06,-0.907177771,-1.460052375,0.384986039,0.25
1984M07,1984M07,9.207846349,8.879598364,0.287769983,0.35
1984M08,1984M08,1.408150852,-0.94205413,0.286944243,-0.1
1984M09,1984M09,-0.409893638,-1.652871786,0.381316001,-0.63
1984M10,1984M10,1.288430421,-0.020650301,0.190114126,-1.13
1984M11,1984M11,-0.705051112,-3.053632222,0.189753378,-0.55
1984M12,1984M12,4.699763425,3.327206872,0.189393996,-0.3
1985M01,1985M01,5.789465326,3.587004061,0.566039247,0.51
1985M02,1985M02,-0.476322093,-1.690895871,0.469264118,0.25
1985M03,1985M03,1.025950855,0.700649274,0.187090794,-0.57
1985M04,1985M04,2.736864618,0.996019974,0.186741417,-0.47
1985M05,1985M05,2.51216874,0.529172998,0.279459893,-0.53
1985M06,1985M06,2.248691106,0.348563823,0.185873659,0.13
1985M07,1985M07,-1.8438671,-3.13190465,0.18552881,0.06
1985M08,1985M08,-1.883519207,-2.424810071,0.185185238,-0.04
1985M09,1985M09,1.49646931,0.862992838,0.369344834,0.06
1985M10,1985M10,6.42141067,5.407353073,0.459770925,0.08
1985M11,1985M11,5.29535865,3.4136066,0.457666703,-0.14
1985M12,1985M12,0.753336549,-1.125285638,0.364631215,-0.03
1986M01,1986M01,5.698847262,4.738389321,-0.182149413,-0.01
1986M02,1986M02,6.184290489,3.679496556,-0.548447444,-0.5
1986M03,1986M03,2.742383054,-0.73463492,-0.367309871,-0.5
1986M04,1986M04,0.492763655,-2.106024834,0.27560881,0.09
1986M05,1986M05,3.134171908,2.251455228,0.366300776,0.06
1986M06,1986M06,-1.802441568,-3.146618514,0.091365927,-0.38
1986M07,1986M07,2.28235741,1.194566429,0.091282526,-0.3
1986M08,1986M08,-2.454761905,-4.278228918,0.364299128,-0.32
1986M09,1986M09,-0.089289761,-0.698960825,0.181653093,-0.03
1986M10,1986M10,3.533534471,2.548152533,0.181323712,0.17
1986M11,1986M11,1.709506324,0.200090512,0.361664047,0.18
1986M12,1986M12,6.674041298,5.729037805,0.540055318,-0.1
1987M01,1987M01,6.462507876,4.435534631,0.358423323,0.16
1987M02,1987M02,4.377002492,2.459870698,0.357143237,0
1987M03,1987M03,-0.854700855,-2.516470881,0.444642796,0.05
1987M04,1987M04,0.174559281,-0.300675556,0.265839767,0.02
1987M05,1987M05,4.500172951,3.600846647,0.441501821,0.01
1987M06,1987M06,3.123387248,1.536040331,0.263968477,0.02
1987M07,1987M07,6.455265237,4.965339875,0.438404911,0.35
1987M08,1987M08,-3.029245092,-4.671012813,0.349345333,0.36
1987M09,1987M09,-11.85257818,-11.6851391,0.261210423,-0.27
1987M10,1987M10,-12.30192719,-11.09460843,0.347222571,-0.44
1987M11,1987M11,-1.332993197,-0.11475233,0.173160216,0.08
1987M12,1987M12,4.248155947,3.611781337,0.345423487,0.04
1988M01,1988M01,3.330117432,1.721592525,0.172265331,-0.15
1988M02,1988M02,3.233565801,1.436032256,0.257842859,0.04
1988M03,1988M03,-0.883097165,-2.381533216,0.599060414,0.21
1988M04,1988M04,-2.185304963,-2.332311583,0.255645644,0.35
1988M05,1988M05,6.001236496,5.891345741,0.424629088,0.2
1988M06,1988M06,-0.304560091,-2.019844519,0.422833611,0.27
1988M07,1988M07,-1.716111421,-2.104756069,0.421053254,0.33
1988M08,1988M08,1.929591708,1.880674642,0.419287826,0.18
1988M09,1988M09,3.804415423,2.876298692,0.334169066,0.11
1988M10,1988M10,-2.01754386,-3.47955421,0.333056095,0.41
1988M11,1988M11,2.328720787,2.326887941,0.331950512,0.31
1988M12,1988M12,3.514566908,2.544258758,0.413394553,0.2
1989M01,1989M01,3.302285389,2.071514802,0.32948959,0.26
1989M02,1989M02,-0.159297052,-1.376407621,0.492207721,0.29
1989M03,1989M03,3.56698269,3.242509727,0.733798645,-0.17
1989M04,1989M04,4.11824071,2.846144832,0.486224621,-0.22
1989M05,1989M05,3.395455028,1.702151554,0.322841281,-0.28
1989M06,1989M06,2.801547214,1.020236362,0.321802369,-0.27
1989M07,1989M07,4.69385106,3.039969145,0,0.02
1989M08,1989M08,0.458501635,-1.623512306,0.240674003,-0.15
1989M09,1989M09,0.28785632,-0.864264269,0.479617226,-0.11
1989M10,1989M10,-1.810513817,-2.636485132,0.397931285,0.05
