country ,public         ,uncons ,fmcn50_ceo,roce  ,sic2      ,sales,tanfixassts,materials,age   ,hours,employment  
uk,1,0,0,13,39,138828,13372,73290,25,41.5,1406
uk,1,0,0,51,34,20755,1393,2252,24,.,548
uk,1,0,0,11,37,875663,176971,370063,88,42,5870
uk,0,1,0,19,33,81352,37872,45808,24,43.8,464
uk,1,0,0,25,27,749002,351066,307176,22,.,7302
uk,1,0,0,-9,36,379993,56570,190286,81,.,8681
uk,0,0,0,15,23,10909,1490,8062,21,38.38,102
uk,1,0,0,12,35,1772187,503029,1230340,84,.,18960
uk,0,0,1,4,38,28755,7480,3851,21,35,236
uk,1,0,0,-2,28,107490,31286,43190,22,43.4,759
uk,1,0,0,-15,39,47754,15279,17219,22,.,359
uk,0,0,1,-2,26,21108,7596,1963,20,.,257
uk,1,0,0,18,34,159895,28638,227875,21,53,545
uk,1,0,0,10,34,186885,39481,66677,21,39,1437
uk,0,0,1,1,22,24049,5680,8714,82,38.6,265
uk,0,1,0,-25,35,214839,38158,58623,82,.,1305
uk,0,0,1,43,34,247859,51911,121504,19,.,920
uk,1,0,0,-6,34,173174,21957,90447,19,39.75,1020
uk,0,1,1,17,35,114386,16019,110888,17,.,582
uk,1,0,1,4,23,15020,3632,7478,219,.,246
uk,0,0,0,6,30,23819,4798,8650,18,.,355
uk,0,0,1,7,37,796719,140635,567516,18,39,3336
uk,0,0,0,13,20,41354,1801,39749,18,42.52,316
uk,0,0,0,2,28,31620,19224,16459,79,42.48,271
uk,0,0,0,16,34,24515,4211,7669,17,.,247
uk,0,0,0,43,39,49906,8526,14293,16,37.68,909
uk,1,0,0,30,30,58407,13357,7662,15,42,682
uk,0,0,0,10,27,20357,8540,5488,15,40,302
uk,0,0,1,43,30,127852,42511,40607,71,40.1,711
uk,0,1,0,9,36,42676,8607,25291,15,38.25,337
uk,1,0,0,25,38,242601,35209,82775,15,.,1718
uk,1,0,0,-1,34,240425,77780,.,73,38,2538
uk,0,0,0,4,28,15561,2317,13225,14,45,185
uk,0,0,0,6,20,139523,47945,64384,14,40.68,942
uk,1,0,0,35,39,145173,21577,4969,13,39.75,1576
uk,1,0,0,10,28,28076,.,15598,12,41.5,244
uk,0,0,0,4,35,63265,16390,41575,12,45.4,369
uk,1,0,0,8,37,745373,165234,324379,74,.,4120
uk,1,0,0,37,36,415931,22803,175328,11,41.2,3042
uk,1,0,0,5,28,1655756,774898,.,72,44.45,18833
uk,0,1,0,25,36,81464,19919,53139,11,.,273
uk,0,1,0,-25,34,18494,773,17570,10,41.5,81
uk,0,0,0,5,20,76897,28177,54229,10,37.77,1088
uk,0,0,0,20,39,28040,5118,11524,8,42.27,274
uk,0,0,0,7,36,22629,7421,18518,8,.,220
uk,0,0,0,8,20,68479,33445,49261,115,37,346
uk,0,0,0,33,39,18492,2886,4968,8,.,221
uk,0,0,1,7,30,15390,7643,5848,66,40,271
uk,0,0,0,22,34,114253,40745,107214,7,50.4,607
uk,0,0,0,15,36,23288,7037,4203,7,38,237
uk,0,0,0,8,34,25989,14435,19711,7,38,172
uk,0,0,0,25,32,34148,5614,1057,7,39,274
uk,1,0,0,16,39,8330749,657979,7072980,111,.,5702
uk,0,0,0,-25,36,26085,5572,23481,7,38.08,261
uk,0,1,0,-25,37,1960301,741996,2641191,7,36,12172
uk,0,0,0,18,26,21387,7374,9785,7,40.5,211
uk,0,0,1,4,39,27008,4832,13623,246,40.2,287
uk,1,0,0,1,20,1301721,248084,643311,6,39.6,6324
uk,0,0,0,50,36,29086,1450,12450,6,.,171
uk,0,0,1,-4,23,30075,8386,10001,65,.,240
uk,0,0,0,37,24,17771,3645,984,6,39.66,316
uk,0,0,1,-2,28,18669,2133,5304,64,39.75,213
uk,0,0,0,7,20,184785,35856,118467,5,48.16,837
uk,0,1,0,50,37,247934,110616,35039,4,.,2968
uk,0,0,1,12,35,85914,37534,45208,57,37,599
uk,1,0,0,27,39,4440584,230790,2577420,60,.,20334
uk,0,0,0,19,25,64501,2012,46193,4,.,621
uk,0,0,0,50,24,31518,1752,19810,4,50.5,283
uk,1,0,0,29,38,382459,63559,165331,107,.,3291
uk,0,0,0,4,36,23929,1726,11887,3,.,244
uk,1,0,0,10,37,6903569,1893041,3688831,249,.,30281
uk,0,0,1,3,34,22837,1704,17014,109,37,225
uk,1,0,0,16,37,732600,86814,143949,57,55,6666
uk,0,0,1,-1,20,43082,14418,48000,59,.,175
uk,0,0,1,40,27,14984,10597,4271,56,39.6,168
uk,1,0,0,8,38,59105,15160,27145,54,38.75,519
uk,0,0,0,8,28,9769,2470,2165,110,39,130
uk,0,1,0,4,35,28005,1627,21423,57,40.6,177
uk,0,0,0,20,32,464462,259514,254594,56,43.8,2837
uk,0,0,1,16,22,41399,15215,28003,53,38.63,246
uk,0,0,0,5,35,59329,19230,29330,52,.,268
uk,1,0,0,9,38,80271,17775,16409,51,45,1146
uk,0,0,1,8,35,47074,49008,23357,47,40.75,209
uk,1,0,0,-5,37,149526,64735,97961,115,37,1189
uk,1,0,0,-3,38,139013,46250,59003,45,41,978
uk,1,0,0,10,28,66248,15640,26693,106,40,362
uk,1,0,0,0,27,54754,16311,10011,44,36.8,465
uk,0,0,0,45,37,193971,35879,122537,43,44.66,946
uk,0,0,0,1,37,31108,16999,22332,45,39.4,556
uk,0,1,0,9,28,260555,94196,160076,45,40.55,1137
uk,0,0,1,-10,34,21424,9489,10846,42,45.5,232
uk,1,0,0,13,35,2213133,618865,827580,42,.,12854
uk,0,0,1,12,25,26380,12746,5315,40,39,262
uk,0,0,1,15,39,30458,3180,15745,108,39.3,235
uk,0,0,0,-5,36,17581,5596,13196,105,42.1,137
uk,0,1,1,-1,36,8228,4283,1699,43,48,177
uk,1,0,0,-9,25,106562,22658,37569,43,38,633
uk,0,0,1,2,23,743426,94560,9224174,42,.,1404
uk,0,0,0,14,39,26784,2990,17673,41,40.8,208
uk,0,0,0,15,28,2939792,612359,2269331,95,41.35,5226
uk,0,0,0,11,35,14626,3839,804,34,.,157
uk,0,1,0,16,34,33257,7722,17196,36,.,412
uk,0,0,0,10,28,54665,6503,28255,35,37.4,428
uk,0,0,0,4,22,79220,35564,22263,67,39.6,1038
uk,0,0,0,7,24,65781,25494,48738,39,42,586
uk,1,0,0,4,28,248363,150308,31424,13,35,1946
uk,1,0,0,10,35,1219414,158350,478998,113,45.8,5371
uk,0,0,0,4,33,35071,4186,18981,96,.,245
uk,0,0,0,-25,28,64331,38256,36478,23,42.22,385
uk,0,0,0,14,20,57518,41651,43651,12,.,195
uk,1,0,0,-1,38,59380,8038,11223,11,39.8,428
uk,1,0,1,16,20,460021,191023,365465,11,.,3202
uk,0,0,0,8,26,166328,76306,99627,10,35,941
uk,0,0,0,10,26,88423,39315,48391,4,.,749
us,1,0,0,19,38,13092,1566,2675,22,48.4,124
us,1,0,0,29,30,640119,182550,448960,35,.,4297
us,1,0,0,27,39,565807,103382,284798,94,46,2870
us,1,0,0,21,35,1056393,414838,610687,90,.,5323
us,1,0,0,18,35,291802,28666,121761,35,40,2101
us,1,0,0,14,35,314064,60023,259916,25,40,2588
us,1,0,0,-4,36,91393,4980,52891,21,.,363
us,1,0,1,33,20,1699671,353226,1445733,129,40.5,12948
us,1,0,0,9,33,529140,179504,299801,72,41.5,2425
us,1,0,0,29,22,865295,366177,457758,106,.,5650
us,1,0,0,19,34,947309,156930,626721,105,.,3847
us,1,0,0,19,28,80689,18472,50584,35,43.8,610
us,1,0,0,29,36,624429,181765,181457,104,45.8,5055
us,1,0,0,32,35,233522,70511,128862,91,45,1904
us,1,0,0,29,28,1818977,951687,1177470,84,43,5653
us,1,0,0,26,27,674553,137655,266406,20,40,4097
us,1,0,0,11,37,204765,39961,68395,34,40.44,748
us,1,0,0,19,26,909186,551275,326024,65,40,7133
us,1,0,0,-4,36,115351,10477,89517,12,51,356
us,1,0,0,-25,38,11755,3220,.,8,43,159
us,1,0,0,25,32,59015,15931,10942,38,48,361
us,1,0,0,19,38,18455,1523,10903,22,40.75,112
us,1,0,0,20,28,206162,28455,134468,120,43.6,378
us,1,0,0,18,28,896252,298416,733551,158,.,2774
us,1,0,0,-6,35,35126,3800,36177,26,40,127
us,1,0,0,19,34,359621,77787,179104,5,46,1608
us,1,0,0,-25,30,91579,39546,67823,7,43.6,428
us,1,0,0,30,20,938064,486623,569023,104,.,6648
us,1,0,0,-4,38,122208,34161,66448,56,46,890
us,1,0,0,27,35,434584,55741,207245,127,46.03,3010
us,1,0,0,16,33,887447,152841,815216,92,40,1968
us,1,0,0,19,33,870037,256609,419308,37,43.2,4959
us,1,0,0,17,36,103030,7749,43865,34,37.73,654
us,1,0,0,30,38,59974,5474,24542,31,40.5,443
us,1,0,0,9,28,178160,127758,122831,18,43,838
us,1,0,1,22,37,52265,28214,21938,57,44.12,268
us,1,0,0,34,20,2296250,1216685,1487944,6,50,8536
us,1,0,0,44,27,218621,54539,93404,178,45.2,1535
us,1,0,0,22,36,151140,.,35923,17,48,613
us,1,0,0,16,28,2345358,841921,1712478,118,.,6214
us,1,0,0,-19,35,35725,11114,.,8,45,247
us,1,0,0,13,23,173116,17115,141175,14,40.8,636
us,1,0,0,-6,38,46598,3390,29544,21,43.84,237
us,1,0,0,34,39,108224,18118,58657,30,41.67,541
us,1,0,0,23,28,1477401,517923,987561,97,55,5335
us,1,0,0,19,38,174493,14389,51246,26,45.35,1081
us,1,0,0,36,36,40021,5003,21304,23,.,122
us,1,0,0,48,35,83253,9552,54952,36,.,349
us,1,0,0,29,28,324797,36004,191868,44,42.75,2277
us,1,0,1,19,30,372499,165161,224870,98,34.5,2492
us,1,0,0,14,22,221923,106566,132928,32,40,1801
us,1,0,0,17,38,951633,245280,393081,103,45.2,8169
us,1,0,0,21,35,129550,20448,88216,19,45.75,442
us,1,0,0,45,38,179917,46027,73084,22,45.5,771
us,1,0,0,37,39,98745,9241,15652,212,40.5,1288
us,1,0,0,27,34,253392,73871,137822,42,50,3053
us,1,0,1,16,38,16998,3034,6445,21,40.75,163
us,1,0,0,19,36,50792,1879,25168,24,.,268
us,1,0,0,50,38,50184,13769,25776,61,47.3,179
us,1,0,0,21,28,77073,6702,25436,49,42.5,251
us,1,0,0,21,36,1676464,209088,815430,24,44.4,7825
us,1,0,0,7,35,171439,127609,149959,20,41,1009
us,1,0,0,-1,36,71514,6057,50094,43,.,568
us,1,0,0,3,38,66319,4374,36703,45,40,379
us,1,0,0,50,39,149213,9738,102471,82,55,666
us,1,0,0,19,35,376570,71429,136048,14,.,2027
us,1,0,0,37,35,8425164,1057260,3046371,128,.,47519
us,1,0,0,-2,36,145492,35317,154267,36,41,603
us,1,0,0,26,35,2061655,276874,1340344,4,40,6525
us,1,0,0,48,24,452884,167004,254235,53,45.6,4576
us,1,0,0,23,32,449167,167217,389873,99,.,2706
us,1,0,0,19,35,64119,8357,30477,18,44.25,441
us,1,0,0,26,37,259857,17655,132510,16,50,1107
us,1,0,1,21,34,98317,55671,79277,87,.,555
us,1,0,0,9,26,388145,220951,184469,15,42.6,2023
